"Nid","Title","theme camp","Activity Categories","Long Blurb for website / app","Scheduled activities","Short blurb for the WTF Guide","Type","latitude","longitude","Infustructure"
"6371","Theme Camp Form 3 - WTF Guide","","Adult, Family Friendly, Food / Drink, For the Kids, Musical Collaberation, Party / Gathering","WE ♡ FILM......
Ever had an old fashioned whilst on the putting range listening to the soundtrack to The Big Lebowski in the background... well thats us!
Our cinema is a unique experience catering to the avid film fanatic, golfing  wannabe and of course the rest of us who just want to have a drink and skop on our sometimes open but always occupied dancefloor. 
We have a friendly line up of childrens classic’s from whenever the hangover subsides till around 11PM ; thereafter, well, anything goes. 
We might theme a few evenings...watch the daily board for details.. and some mornings you could even find a yoga class happening in the shade, or some live acoustics to while away the long hot afternoons. We also run the best bar on the binnekring and you're guaranteed to find a few amazing cocktail surprises if you pop your head in at the right time....","","WE ♡ FILM......
ever had an old fashioned whilst on the putting range listening to the soundtrack to The Big Lebowski in the background...thats us!
Cinema doors open as soon as it gets dark and we kick off every evening with some sing along classics for the whole family......after 11 its adults only and  who knows what happens... sometimes quirky, sometimes short, sometimes factual but we promise it will always be good! ","Theme Camp Form 3 - WTF Guide","","",""
"6369","Theme Camp Form 3 - WTF Guide","","Food / Drink","""Bal Musette"" is a populare french gathering which was famous in France until the 60's. It is commonly accompanied with accordion and double bass. We'll serve Pastis from Marseille (famous light alcoholic beverage with an anise taste) along with music and of course... french swearing!","Day: TuesdayStart Hour: 18Finish time: 20Description: We plan to do it everyday! :)","Come experience a french ""Bal musette"" vibe with french music from the 60's and Pastis at Apéro time everyday! (from 6pm to 8pm).","Theme Camp Form 3 - WTF Guide","","",""
"6367","OO mooo","","","Jump a bord the OO moo as we like to mooov it mooov it over the playa. ","","We like to mooov it mooov it","Mutant Vehicles","","",""
"6355","Theme Camp Form 3 - WTF Guide","","Adult, Care and Support, Family Friendly, Food / Drink, Musical Collaberation, Party / Gathering","The dusty post apocalyptic clan known as The Pancake People once again welcome you to their house of madness and intrigue. Come one, come all but be cautioned...if you do come.. you might not leave. Pancakes are served to mutant hungover burners and dust crusted children everyday from 9am to 11am with random surprise pancake flopping on Friday & Saturday.

Our space is vibrant and organic (whatever that means) and at anytime of the day you might find the space being used by drummers creating a drumming circle or aerobics yoga show or even a full on party. SO if you a performer and desire a space and audience, please pull in. ","Day: TuesdayStart Hour: 9Finish time: 11Description: Pancake flipping starts Tuesday and runs every morning from 9 to 11 am with random surprise flipping on Friday and Saturday during the day.

In the afternoons the space is a welcoming refuge where burners connect and socialise with music and laughter.

In the evenings the fires get going and the music cranks u a bit. Who knows we might surprise by throwing the odd party.","The dusty post apocalyptic clan known as The Pancake People once again welcome you to their house of madness and intrigue. Come one, come all but be cautioned...if you do come.. you might not leave. Pancakes are served to mutant hungover burners and dust crusted children everyday from 9am to 11am with random surprise pancake flopping on Friday & Saturday.","Theme Camp Form 3 - WTF Guide","","",""
"6344","Theme Camp Form 3 - WTF Guide","","Party / Gathering","The Smokescreen solar powered cinema presents a visual feast of award winning short films shown on the big screen every evening from 7pm-ish.   We specially select the best short films and viral video clips for your viewing pleasure so pull in, grab some popcorn and take a load off!

We're also throwing special themed day parties:
* Thursday at 11am - Country and Western Hillbilly Hoedown
* Friday at 11am - It's Burlesque Baby

...and also stand by for rousing marches of the famous Tankwa Trolleywood Trompoppies before the Hoedown on Thursday and after our Burlesque party on Friday!","Day: ThursdayStart Hour: 10Finish time: 11Description: The opening march of the Tankwa Trolleywood Trompoppies!, Day: ThursdayStart Hour: 11Finish time: 15Description: Saddle up, it's our Country and Western Hillbilly Hoedown from 11am., Day: ThursdayStart Hour: 19Finish time: 21Description: Films showing from 7pm-ish; tonight's theme is ""Foul Play"". It’s all fun and games until…, Day: FridayStart Hour: 11Finish time: 15Description: Come shake your sexy booty at our bold and beautiful burlesque party from 11am. , Day: FridayStart Hour: 15Finish time: 16Description: It's a special matinee march of the Tankwa Trolleywood Trompoppies!, Day: FridayStart Hour: 19Finish time: 21Description: Films showing from 7pm-ish; tonight's theme is ""Mind Games"". From out of this world and far off lands!, Day: SaturdayStart Hour: 19Finish time: 21Description: Films showing from 7pm-ish; tonight's theme is ""Beyond the Play Date"".  Titillations and mindbenders for until we play again., Day: WednesdayStart Hour: 19Finish time: 21Description: Films showing from 7pm-ish; tonight's theme is ""Wanna Play?"".  From toys to dress up, we’ve got your game.","The Smokescreen solar powered cinema presents evening showings of award winning short films, special themed daytime parties and marches of the famous Tankwa Trolleywood Trompoppies!","Theme Camp Form 3 - WTF Guide","","",""
"6342","Theme Camp Form 3 - WTF Guide","","Food / Drink, Party / Gathering","The Bees Knees is proud to support the Bees in our community. 
We run daily Le Boulle court action and have lots of raw honey to give away.
We also run a honey whiskey bar with Loki the Rhino on Saturday so please come and join us on the Binnekring in front of 7ish from 3pm onwards.

Please join our Facebook page and help create more awareness about the importance of our little firends: https://www.facebook.com/The-BEES-KNEES-668274929938691/","Day: SaturdayStart Hour: 14Finish time: 18Description: Honey Whiskey Bar:
Serving shots of honey whiskey and other ""home brews infused with honey"" next to Loki the Rhino; in front of 7ish on the Binnekring.
Saturday from 3pm onwards","Le Boulle:
Join us for some fun in the sun! Its the game where you can have a drink, laugh and swear at each other all at the same time :-)
Open daily 9am to 3pm
Honey Bar:
Get some raw honey, have it with coffee, tea or just like that.
Open daily 9am to 3pm
Honey Whiskey Bar:
Come have a shot of whiskey and join Loki on the binnekirng in front of 7ish for some epic creation.
Saturday from 3pm onwards","Theme Camp Form 3 - WTF Guide","","",""
"6337","Flaming Unicorn","","","The Flaming Unicorn
Liquid refreshment morning, noon, night!!!
Tequila shots, Bloody Marys and Slush Mojitos
We'll be here there and everywhere so look out for us","","Flaming Unicorn
No cup no drink!!
Drinks in the Morning, Drinks the Evening - You'll find us at the vibe!!","Mutant Vehicles","","",""
"6335","Run Aground","","","Ambitions of a distant land?
Come find me where I ride
Explore with me beyond the sea
And play throughout this dream of life.","","Ambitions of a distant land?
Come find me where I ride
Explore with me beyond the sea
And play throughout this dream of life.","Mutant Vehicles","","",""
"6332","Prawn","","","","","","Artwork Registration","","",""
"6330","Theme Camp Form 3 - WTF Guide 6330","","Care and Support, Family Friendly, Game / Sport","It’s a cool camp on the edge of the desert with its own magical oasis. 
Grimy desert warriors and Play mates can arrive from 11 - 3pm and draw water from our well to wash off the desert dust in one of our awesome, super wet, desert-view showers. An uber cool offering, (and wet, did we mention wet?) in this drought ’n all.
We may even offer the odd spa treatment, or body beautification, or iced tea if we’re up to it. While you wait, chill out in our comfy lounge or play with us. Perhaps a game of giant jenga, or something else surprising. Hell, you could even join us for a delightful sundowner drinks party one sunset. We just won’t tell you when until we know ourselves. Because, like you, we prefer to live in a zone of Zero Expectation, where Anything, and Everything can happen.","Day: WednesdayStart Hour: 11Finish time: 15Description: Grimy desert warriors and Play mates can arrive from 11 - 3pm and draw water from our well to wash off the desert dust in one of our awesome, super wet, desert-view showers. An uber cool offering, in this drought ’n all.
We will even offer the odd spa treatment, body beautification and iced tea. While you wait, chill out in our comfy lounge or play with us. Perhaps a game of giant jenga, or something else surprising. Everything can happen. You could even join us for a delightful desert sundowner drinks party one sunset., Day: ThursdayStart Hour: 11Finish time: 15Description: Grimy desert warriors and Play mates can arrive from 11 - 3pm and draw water from our well to wash off the desert dust in one of our awesome, super wet, desert-view showers. An uber cool offering, in this drought ’n all.
We will even offer the odd spa treatment, body beautification and iced tea. While you wait, chill out in our comfy lounge or play with us. Perhaps a game of giant jenga, or something else surprising. Everything can happen. You could even join us for a delightful desert sundowner drinks party one sunset., Day: FridayStart Hour: 11Finish time: 15Description: Grimy desert warriors and Play mates can arrive from 11 - 3pm and draw water from our well to wash off the desert dust in one of our awesome, super wet, desert-view showers. An uber cool offering, in this drought ’n all.
We will even offer the odd spa treatment, body beautification and iced tea. While you wait, chill out in our comfy lounge or play with us. Perhaps a game of giant jenga, or something else surprising. Everything can happen. You could even join us for a delightful desert sundowner drinks party one sunset., Day: SaturdayStart Hour: 11Finish time: 15Description: Grimy desert warriors and Play mates can arrive from 11 - 3pm and draw water from our well to wash off the desert dust in one of our awesome, super wet, desert-view showers. An uber cool offering, in this drought ’n all.
We will even offer the odd spa treatment, body beautification and iced tea. While you wait, chill out in our comfy lounge or play with us. Perhaps a game of giant jenga, or something else surprising. Everything can happen.  You could even join us for a delightful desert sundowner drinks party one sunset.","It’s a cool camp on the edge of the desert with its own magical oasis. 
Grimy desert warriors and Play mates can arrive from 11 - 3pm and draw water from our well to wash off the desert dust in one of our awesome, super wet, desert-view showers. An uber cool offering, (and wet, did we mention wet?) in this drought ’n all.
We will even offer spa treatments like back rubs, massages, body beautification and iced tea. While you wait, chill out in our comfy lounge or play with us. Perhaps a game of giant jenga, or something else surprising. Hell, you could even join us for a delightful sundowner drinks party one sunset. We just won’t tell you when until we know ourselves. Because, like you, we prefer to live in a zone of Zero Expectation, where Anything, and Everything can happen.","Theme Camp Form 3 - WTF Guide","","",""
